term,estimate,std_estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),66.147,NA,1.594,41.51,0,NA,NA
danceability,1.471,0.01,1.02,1.442,0.149,-2.616,2.637
energy,-20.175,-0.181,1.158,-17.42,0,-3.165,2.802
loudness,1.079,0.159,0.063,17.25,0,-0.002,0.32
speechiness,-3.841,-0.019,1.305,-2.943,0.003,-3.381,3.343
acousticness,2.642,0.029,0.697,3.791,0,-1.766,1.824
instrumentalness,-8.87,-0.101,0.59,-15.021,0,-1.622,1.42
liveness,-1.753,-0.013,0.871,-2.012,0.044,-2.257,2.231
valence,3.593,0.041,0.626,5.743,0,-1.571,1.653
tempo,0.024,0.031,0.005,4.745,0,0.018,0.044
duration_ms,-0,-0.077,0,-11.955,0,-0.077,-0.077
