term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),1.297748690495116,0.01308654735036758,19.915947246351124,2.9600117592082654e-88,1.2649034885924448,1.3314850098330289
energy,1.0189738576926108,0.021150320202036832,0.8886909922399644,0.3741691734695564,0.9776025925652955,1.0621126638735645
loudness,0.9478702209150892,0.019100222703125377,-2.8029874153563106,0.0050631644965656065,0.9129861449772331,0.983975485637925
speechiness,0.8885079690146774,0.013239815682423233,-8.9284975861944,4.3183332516381806e-19,0.8657318814208329,0.9118532314302245
acousticness,1.0177458440059817,0.015860859841295333,1.1090334986209078,0.26741573112545775,0.986611103500649,1.0499025130549344
instrumentalness,0.9638237152995663,0.01379269840787331,-2.6714764544875176,0.007551837035917954,0.9381364800450259,0.9902601049761288
liveness,1.0114582315838936,0.013361444291168362,0.8526835111829947,0.39383483719736484,0.9853449756064652,1.0383346860949876
valence,0.9944630016243924,0.013653529480244916,-0.40666293504959705,0.6842555668583573,0.9682033256755597,1.021435862977306
tempo,1.0414964417357395,0.013286858297326424,3.060058617536985,0.0022129367543917105,1.014737329125214,1.068991318893159
duration_ms,1.0124964806891357,0.013403510743683062,0.9265515854334916,0.3541594019027847,0.9862614028183613,1.0394698416573764
